Date,BTC,ETH
2022-01-02,-0.007189054400020822,0.0157565718419157
2022-01-03,-0.01891463669576332,-0.017965194416833086
2022-01-04,-0.012138934663861178,0.00864979039962499
2022-01-05,-0.05206628845481376,-0.06637919922309976
2022-01-06,-0.009410297303588777,-0.03788159613599795
2022-01-07,-0.037847988650375086,-0.06814818392330224
2022-01-08,0.0042270483325967945,-0.0322175338188071
2022-01-09,0.004247935206112885,0.021050925260373887
2022-01-10,-0.002157811766201334,-0.023925309249449356
2022-01-11,0.02163341063743829,0.04905540850526968
2022-01-12,0.027993907251913086,0.04059232704491755
2022-01-13,-0.03137582795207017,-0.037454373766008686
2022-01-14,0.011859664695821337,0.01882036684483701
2022-01-15,0.001801155622210615,0.006183047255122531
2022-01-16,-0.0014722123644013152,0.006103815352282993
2022-01-17,-0.020227571699049207,-0.04224676783784531
2022-01-18,0.0029561092566119385,-0.015143729147736096
2022-01-19,-0.015009910442870478,-0.021790268306874694
2022-01-20,-0.025816743095603556,-0.031069137876990283
2022-01-21,-0.10960468291544068,-0.1597866123370455
2022-01-22,-0.039930188839646164,-0.06157375509984142
2022-01-23,0.03496657378118151,0.052583822253714274
2022-01-24,0.010352967106697974,-0.03806663414707501
2022-01-25,0.008142486826951512,0.006365155947078982
2022-01-26,-0.002760824449564936,0.004912804357988243
2022-01-27,0.007733837890786077,-0.018413426720137238
2022-01-28,0.01724750509041506,0.04994538674198079
2022-01-29,0.009321351739208339,0.01943722079713517
2022-01-30,-0.005800446457154607,0.0024542933278377532
2022-01-31,0.014804408066392938,0.032057294217723964
2022-02-01,0.0067373185026333715,0.03789901590241307
2022-02-02,-0.04731073995912283,-0.03991900189846387
2022-02-03,0.0054412158319916415,-0.0013768725863689824
2022-02-04,0.11062688345744753,0.10762195699877353
2022-02-05,-0.0014398234837340596,0.010356898784399604
2022-02-06,0.023166876517578316,0.014106625354683544
2022-02-07,0.0331115827095374,0.027419575373833993
2022-02-08,0.006324808965338491,-0.006340582774360115
2022-02-09,0.004982113681997191,0.03673697694103062
2022-02-10,-0.017603393781389087,-0.05129394490390027
2022-02-11,-0.026921126055171385,-0.050002751912891163
2022-02-12,-0.0038621218328671603,-0.0034289808975120906
2022-02-13,-0.0011120802095430093,-0.011687921329383677
2022-02-14,0.009185768314631915,0.017196958236169735
2022-02-15,0.04563060448723988,0.08065348682875495
2022-02-16,-0.013855295049898686,-0.016503080476892862
2022-02-17,-0.08108233071910398,-0.08203477627474065
2022-02-18,-0.012586526423760347,-0.033795647967470366
2022-02-19,0.002275138191892623,-0.007938288426893259
2022-02-20,-0.043054421746525406,-0.05010097368287525
2022-02-21,-0.03592381094835417,-0.021080126474083194
2022-02-22,0.03213453434150715,0.025123785947060995
2022-02-23,-0.02618363461542117,-0.018716756316610628
2022-02-24,0.027399579951550734,0.0029710451975581975
2022-02-25,0.022738450595305437,0.06210492001628065
2022-02-26,-0.0027852723260775036,0.005978101333671937
2022-02-27,-0.03633451792442699,-0.058989006467832006
2022-02-28,0.13576425730332176,0.10744823233553014
2022-03-01,0.02653338033252517,0.018088331874394292
2022-03-02,-0.00975371593540686,-0.007553031531305265
2022-03-03,-0.03409447865241333,-0.03999069193805127
2022-03-04,-0.08128527556523579,-0.07976638173113937
2022-03-05,0.0066969062286332814,0.01805242724385181
2022-03-06,-0.025202937052357655,-0.04207381817472555
2022-03-07,-0.009360315270734887,-0.022668012978125596
2022-03-08,0.017584738215960627,0.03112913711734322
2022-03-09,0.0804608330138592,0.0576943152453806
2022-03-10,-0.06254685680053029,-0.04562000998542359
2022-03-11,-0.016425482290646443,-0.01876573650264035
2022-03-12,0.002806706804667769,0.0059175177645443
2022-03-13,-0.027475269974985395,-0.021914057615659566
2022-03-14,0.04689129940953407,0.02808658645403561
2022-03-15,-0.008302471898177899,0.011304854773674933
2022-03-16,0.04486546767419952,0.05635772436345565
2022-03-17,-0.0046909168777933274,0.015321408134705727
2022-03-18,0.020538517974936,0.04531471478917748
2022-03-19,0.009274687432013096,0.0003102934660130785
2022-03-20,-0.022600322885967472,-0.029553396993632575
2022-03-21,-0.0041257618874652735,0.013030575038735392
2022-03-22,0.030703791309973028,0.025602884706367846
2022-03-23,0.012531246090631498,0.019299107399374016
2022-03-24,0.02459372596578646,0.025084636099409252
2022-03-25,0.008782716407665703,-0.00044752523851165904
2022-03-26,0.003423715485570966,0.011682834500293282
2022-03-27,0.05081317579238309,0.04613228082191334
2022-03-28,0.006546412763370313,0.013595696011334368
2022-03-29,0.007140599739189568,0.019397235082777797
2022-03-30,-0.008527995234731023,-0.004959336101979517
2022-03-31,-0.03291800954258228,-0.031056412218482876
2022-04-01,0.016183454010016973,0.049900281425525606
2022-04-02,-0.008957035540669622,-0.0013033136125990552
2022-04-03,0.012664841243047675,0.022324511009120585
2022-04-04,0.0036337857461319345,-0.00045209207726948364
2022-04-05,-0.023144860605896156,-0.03157573691482618
2022-04-06,-0.052945705100574614,-0.0729726411008258
2022-04-07,0.006852924231532498,0.019230283545795146
2022-04-08,-0.028353972258937432,-0.012824595407119332
2022-04-09,0.011625235289933755,0.02164397810823182
2022-04-10,-0.013518646577317384,-0.015462462060694904
2022-04-11,-0.06574699455484989,-0.07457602946225705
2022-04-12,0.015198991801760542,0.0164105167191817
2022-04-13,0.025576417495491555,0.028615310469096045
2022-04-14,-0.030364373354540675,-0.03207532926840706
2022-04-15,0.015355179227128701,0.006932112702694226
2022-04-16,-0.0031855728397047756,0.007010680458268581
2022-04-17,-0.017657522881942,-0.02275865766468499
